Date,VN_Index_Close,Total Volume,Total Value
2009-12-30,495.36,56437345.0,2499470000000.0
2009-12-31,494.77,70456188.0,3014550000000.0
2010-01-04,517.05,44914820.0,1944900000000.0
2010-01-05,532.53,70051390.0,3068230000000.0
2010-01-06,534.46,67363510.0,3209530000000.0
2010-01-07,533.34,75683500.0,3437730000000.0
2010-01-08,520.9,84715340.0,3884840000000.0
2010-01-11,515.06,44775500.0,2032270000000.0
2010-01-12,498.31,52738440.0,2327830000000.0
2010-01-13,508.61,55048159.0,2387760000000.0
2010-01-14,512.33,36054780.0,1566650000000.0
2010-01-15,505.42,37129780.0,1596850000000.0
2010-01-18,487.13,41419140.0,1788650000000.0
2010-01-19,495.51,33635079.0,1449340000000.0
2010-01-20,489.5,35192084.0,1580230000000.0
2010-01-21,478.42,40957576.0,1800880000000.0
2010-01-22,477.59,30075943.0,1239590000000.0
2010-01-25,480.91,21334030.0,868290000000.0
2010-01-26,497.9,33761820.0,1430170000000.0
2010-01-27,486.41,33819450.0,1513730000000.0
2010-01-28,481.76,23071431.0,924700000000.0
2010-01-29,481.96,25697670.0,1026650000000.0001
2010-02-01,486.95,23137630.0,994080000000.0
2010-02-02,487.93,27408325.0,1090730000000.0
2010-02-03,495.48,26569470.0,1223080000000.0
2010-02-04,503.83,35259440.0,1681510000000.0
2010-02-05,493.04,33687560.0,1590250000000.0
2010-02-08,491.2,21676150.0,911680000000.0
2010-02-09,482.89,25212680.0,1122090000000.0
2010-02-10,490.91,18994380.0,818640000000.0
2010-02-11,499.94,21555280.0,993380000000.0
2010-02-12,507.0,23326560.0,1014610000000.0
2010-02-22,510.02,21164860.0,913670000000.0
2010-02-23,496.29,27077620.0,1102170000000.0
2010-02-24,494.59,27433180.0,1214890000000.0
2010-02-25,494.99,28382040.0,85550000000.0
2010-02-26,496.91,39282900.0,331080000000.0
2010-03-01,503.01,35077030.0,112870000000.0
2010-03-02,501.0,43299633.0,337470000000.0
2010-03-03,507.32,37832170.0,87000000000.0
2010-03-04,511.91,50962670.0,165620000000.0
2010-03-05,513.39,45559810.0,87170000000.0
2010-03-08,521.12,55969400.0,152000000000.0
2010-03-09,527.27,62409322.0,117520000000.0
2010-03-10,525.67,57896340.0,127610000000.0
